agg_trade_id,price,quantity,first_trade_id,last_trade_id,transact_time,is_buyer_maker,bucket_time,create_time,symbol,sum_open_interest,sum_open_interest_value,count_toptrader_long_short_ratio,sum_toptrader_long_short_ratio,count_long_short_ratio,sum_taker_long_short_vol_ratio
80269922,0.0865,191.0,262024903,262024903,2026-01-02 05:39:16.321,False,2026-01-02 05:35:00,2026-01-02 05:35:00,POPCATUSDT,50108377.0,4334893.232201951,1.80301275,1.537955,1.7913299,0.848654
80269923,0.0865,69.0,262024904,262024904,2026-01-02 05:39:21.954,True,2026-01-02 05:35:00,2026-01-02 05:35:00,POPCATUSDT,50108377.0,4334893.232201951,1.80301275,1.537955,1.7913299,0.848654
80269924,0.0866,769.0,262024905,262024909,2026-01-02 05:39:22.313,False,2026-01-02 05:35:00,2026-01-02 05:35:00,POPCATUSDT,50108377.0,4334893.232201951,1.80301275,1.537955,1.7913299,0.848654
80269925,0.0866,309.0,262024910,262024910,2026-01-02 05:39:24.509,True,2026-01-02 05:35:00,2026-01-02 05:35:00,POPCATUSDT,50108377.0,4334893.232201951,1.80301275,1.537955,1.7913299,0.848654
80269926,0.0866,191.0,262024911,262024911,2026-01-02 05:39:25.163,True,2026-01-02 05:35:00,2026-01-02 05:35:00,POPCATUSDT,50108377.0,4334893.232201951,1.80301275,1.537955,1.7913299,0.848654
80269927,0.0866,7593.0,262024912,262024914,2026-01-02 05:39:26.073,False,2026-01-02 05:35:00,2026-01-02 05:35:00,POPCATUSDT,50108377.0,4334893.232201951,1.80301275,1.537955,1.7913299,0.848654
80269928,0.0866,206.0,262024915,262024915,2026-01-02 05:39:30.012,False,2026-01-02 05:35:00,2026-01-02 05:35:00,POPCATUSDT,50108377.0,4334893.232201951,1.80301275,1.537955,1.7913299,0.848654
80269929,0.0866,16217.0,262024916,262024921,2026-01-02 05:39:33.280,False,2026-01-02 05:35:00,2026-01-02 05:35:00,POPCATUSDT,50108377.0,4334893.232201951,1.80301275,1.537955,1.7913299,0.848654
80269930,0.0866,118.0,262024922,262024922,2026-01-02 05:39:33.535,True,2026-01-02 05:35:00,2026-01-02 05:35:00,POPCATUSDT,50108377.0,4334893.232201951,1.80301275,1.537955,1.7913299,0.848654
80269931,0.0866,2544.0,262024923,262024923,2026-01-02 05:39:34.163,True,2026-01-02 05:35:00,2026-01-02 05:35:00,POPCATUSDT,50108377.0,4334893.232201951,1.80301275,1.537955,1.7913299,0.848654
80269932,0.0866,5036.0,262024924,262024928,2026-01-02 05:39:34.602,True,2026-01-02 05:35:00,2026-01-02 05:35:00,POPCATUSDT,50108377.0,4334893.232201951,1.80301275,1.537955,1.7913299,0.848654
80269933,0.0866,20000.0,262024929,262024934,2026-01-02 05:39:36.750,False,2026-01-02 05:35:00,2026-01-02 05:35:00,POPCATUSDT,50108377.0,4334893.232201951,1.80301275,1.537955,1.7913299,0.848654
80269934,0.0865,1664.0,262024935,262024938,2026-01-02 05:39:37.913,True,2026-01-02 05:35:00,2026-01-02 05:35:00,POPCATUSDT,50108377.0,4334893.232201951,1.80301275,1.537955,1.7913299,0.848654
80269935,0.0864,19570.0,262024939,262024945,2026-01-02 05:39:37.954,True,2026-01-02 05:35:00,2026-01-02 05:35:00,POPCATUSDT,50108377.0,4334893.232201951,1.80301275,1.537955,1.7913299,0.848654
80269936,0.0863,555.0,262024946,262024948,2026-01-02 05:39:37.973,True,2026-01-02 05:35:00,2026-01-02 05:35:00,POPCATUSDT,50108377.0,4334893.232201951,1.80301275,1.537955,1.7913299,0.848654
80269937,0.0863,8717.0,262024949,262024950,2026-01-02 05:39:38.091,True,2026-01-02 05:35:00,2026-01-02 05:35:00,POPCATUSDT,50108377.0,4334893.232201951,1.80301275,1.537955,1.7913299,0.848654
80269938,0.0864,6010.0,262024951,262024952,2026-01-02 05:39:43.494,False,2026-01-02 05:35:00,2026-01-02 05:35:00,POPCATUSDT,50108377.0,4334893.232201951,1.80301275,1.537955,1.7913299,0.848654
80269939,0.0863,17532.0,262024953,262024960,2026-01-02 05:39:49.355,True,2026-01-02 05:35:00,2026-01-02 05:35:00,POPCATUSDT,50108377.0,4334893.232201951,1.80301275,1.537955,1.7913299,0.848654
80269940,0.0862,119913.0,262024961,262024983,2026-01-02 05:39:49.355,True,2026-01-02 05:35:00,2026-01-02 05:35:00,POPCATUSDT,50108377.0,4334893.232201951,1.80301275,1.537955,1.7913299,0.848654
80269941,0.0863,3478.0,262024984,262024985,2026-01-02 05:39:49.357,True,2026-01-02 05:35:00,2026-01-02 05:35:00,POPCATUSDT,50108377.0,4334893.232201951,1.80301275,1.537955,1.7913299,0.848654
80269942,0.0862,272.0,262024986,262024987,2026-01-02 05:39:49.488,True,2026-01-02 05:35:00,2026-01-02 05:35:00,POPCATUSDT,50108377.0,4334893.232201951,1.80301275,1.537955,1.7913299,0.848654
80269943,0.0862,12034.0,262024988,262024993,2026-01-02 05:39:56.722,True,2026-01-02 05:35:00,2026-01-02 05:35:00,POPCATUSDT,50108377.0,4334893.232201951,1.80301275,1.537955,1.7913299,0.848654
80269944,0.0861,28281.0,262024994,262025002,2026-01-02 05:39:56.722,True,2026-01-02 05:35:00,2026-01-02 05:35:00,POPCATUSDT,50108377.0,4334893.232201951,1.80301275,1.537955,1.7913299,0.848654
80269945,0.0861,422.0,262025003,262025003,2026-01-02 05:39:57.618,True,2026-01-02 05:35:00,2026-01-02 05:35:00,POPCATUSDT,50108377.0,4334893.232201951,1.80301275,1.537955,1.7913299,0.848654
80269946,0.0862,2693.0,262025004,262025004,2026-01-02 05:40:00.365,False,2026-01-02 05:40:00,2026-01-02 05:40:00,POPCATUSDT,50092636.0,4320502.87908536,1.79815456,1.534663,1.7970696,0.647495
80269947,0.0861,21975.0,262025005,262025019,2026-01-02 05:40:00.948,True,2026-01-02 05:40:00,2026-01-02 05:40:00,POPCATUSDT,50092636.0,4320502.87908536,1.79815456,1.534663,1.7970696,0.647495
80269948,0.0861,26858.0,262025020,262025029,2026-01-02 05:40:01.003,False,2026-01-02 05:40:00,2026-01-02 05:40:00,POPCATUSDT,50092636.0,4320502.87908536,1.79815456,1.534663,1.7970696,0.647495
80269949,0.0861,3556.0,262025030,262025033,2026-01-02 05:40:01.100,True,2026-01-02 05:40:00,2026-01-02 05:40:00,POPCATUSDT,50092636.0,4320502.87908536,1.79815456,1.534663,1.7970696,0.647495
80269950,0.0862,234.0,262025034,262025034,2026-01-02 05:40:01.242,False,2026-01-02 05:40:00,2026-01-02 05:40:00,POPCATUSDT,50092636.0,4320502.87908536,1.79815456,1.534663,1.7970696,0.647495
80269951,0.0862,330.0,262025035,262025035,2026-01-02 05:40:01.430,False,2026-01-02 05:40:00,2026-01-02 05:40:00,POPCATUSDT,50092636.0,4320502.87908536,1.79815456,1.534663,1.7970696,0.647495
80269952,0.0861,581.0,262025036,262025036,2026-01-02 05:40:08.704,True,2026-01-02 05:40:00,2026-01-02 05:40:00,POPCATUSDT,50092636.0,4320502.87908536,1.79815456,1.534663,1.7970696,0.647495
80269953,0.0861,4555.0,262025037,262025038,2026-01-02 05:40:13.649,True,2026-01-02 05:40:00,2026-01-02 05:40:00,POPCATUSDT,50092636.0,4320502.87908536,1.79815456,1.534663,1.7970696,0.647495
80269954,0.0861,103.0,262025039,262025039,2026-01-02 05:40:14.674,True,2026-01-02 05:40:00,2026-01-02 05:40:00,POPCATUSDT,50092636.0,4320502.87908536,1.79815456,1.534663,1.7970696,0.647495
80269955,0.0862,251.0,262025040,262025040,2026-01-02 05:40:17.572,False,2026-01-02 05:40:00,2026-01-02 05:40:00,POPCATUSDT,50092636.0,4320502.87908536,1.79815456,1.534663,1.7970696,0.647495
80269956,0.0861,5000.0,262025041,262025046,2026-01-02 05:40:22.362,True,2026-01-02 05:40:00,2026-01-02 05:40:00,POPCATUSDT,50092636.0,4320502.87908536,1.79815456,1.534663,1.7970696,0.647495
80269957,0.0861,1675.0,262025047,262025047,2026-01-02 05:40:28.738,True,2026-01-02 05:40:00,2026-01-02 05:40:00,POPCATUSDT,50092636.0,4320502.87908536,1.79815456,1.534663,1.7970696,0.647495
80269958,0.0862,34501.0,262025048,262025066,2026-01-02 05:40:30.633,False,2026-01-02 05:40:00,2026-01-02 05:40:00,POPCATUSDT,50092636.0,4320502.87908536,1.79815456,1.534663,1.7970696,0.647495
